"job_id","company_id","job_title","job_level","job_type","remote_allowed","salary_min","salary_max","location_country","posted_date"
55,73,"DevOps Engineer","Mid","Contract",False,47180,124197,"UK","2025-04-15"
56,1,"Data Analyst","Senior","Full-time",True,66553,117423,"UK","2025-10-02"
57,86,"QA Engineer","Lead","Full-time",True,57427,137466,"UK","2025-02-15"
58,106,"Product Manager","Lead","Full-time",True,65731,129163,"USA","2025-10-24"
59,137,"Software Engineer","Junior","Contract",True,48451,99650,"Remote","2025-05-30"
60,98,"QA Engineer","Junior","Full-time",True,49979,118748,"Remote","2026-01-06"
61,129,"QA Engineer","Lead","Contract",False,52020,103810,"USA","2025-07-11"
62,146,"Data Analyst","Lead","Full-time",True,42666,147528,"India","2025-05-12"
63,123,"Software Engineer","Lead","Internship",False,72210,123613,"USA","2025-09-14"
64,42,"QA Engineer","Mid","Internship",False,51836,141676,"Germany","2025-09-09"
65,90,"Software Engineer","Mid","Internship",True,73561,131888,"Canada","2026-01-12"
66,82,"QA Engineer","Lead","Internship",False,57808,94619,"USA","2025-09-11"
67,95,"QA Engineer","Junior","Full-time",False,55980,90451,"Germany","2025-12-06"
68,49,"Product Manager","Junior","Internship",False,69989,115808,"India","2025-04-13"
69,24,"Software Engineer","Lead","Contract",True,60263,93468,"USA","2025-06-12"
70,113,"Product Manager","Mid","Full-time",False,48918,131171,"USA","2025-07-23"
71,40,"Product Manager","Junior","Contract",True,60524,127094,"Germany","2026-01-13"
72,24,"Product Manager","Junior","Full-time",False,64560,131081,"India","2025-10-11"
73,93,"QA Engineer","Lead","Contract",False,65982,114189,"Germany","2025-02-06"
74,22,"Data Analyst","Senior","Contract",True,70607,118720,"Remote","2025-02-09"
75,46,"QA Engineer","Mid","Contract",True,68577,122860,"Remote","2025-02-14"
76,43,"Product Manager","Lead","Full-time",True,62003,136774,"Canada","2025-03-31"
77,106,"Data Analyst","Lead","Full-time",False,46757,93929,"UK","2025-06-11"
78,78,"DevOps Engineer","Senior","Internship",True,77199,136112,"Remote","2025-05-25"
79,120,"Data Analyst","Lead","Contract",False,45665,98817,"UK","2025-08-30"
80,58,"Product Manager","Mid","Full-time",True,74508,139897,"Remote","2025-01-31"
81,135,"QA Engineer","Junior","Contract",True,62595,109822,"India","2025-05-04"
82,146,"Data Analyst","Mid","Internship",False,40611,96592,"Remote","2025-06-06"
83,24,"DevOps Engineer","Lead","Internship",True,47452,105668,"Germany","2025-12-17"
84,34,"DevOps Engineer","Lead","Contract",False,71820,95208,"USA","2025-04-02"
85,55,"Data Analyst","Mid","Internship",False,74226,120364,"USA","2025-12-29"
86,11,"Data Analyst","Senior","Internship",False,61205,125137,"USA","2025-09-20"
87,9,"Product Manager","Mid","Internship",False,46698,118727,"Remote","2025-10-07"
88,108,"Product Manager","Mid","Internship",True,41565,98669,"Remote","2025-06-10"
89,98,"DevOps Engineer","Mid","Internship",True,42738,136195,"USA","2025-06-30"
90,119,"DevOps Engineer","Senior","Full-time",False,71590,97457,"UK","2025-06-08"
91,103,"Data Analyst","Junior","Internship",True,41138,109770,"Canada","2025-11-20"
92,69,"Product Manager","Mid","Full-time",True,40387,111317,"India","2025-12-15"
93,137,"DevOps Engineer","Mid","Full-time",False,55367,91605,"Germany","2025-01-31"
94,56,"DevOps Engineer","Junior","Full-time",True,78901,95640,"India","2025-11-26"
95,48,"Data Analyst","Junior","Contract",True,40768,104876,"UK","2025-12-21"
96,7,"QA Engineer","Junior","Internship",True,45663,140854,"India","2025-04-05"
97,37,"Software Engineer","Mid","Full-time",False,42658,112978,"USA","2025-02-15"
98,147,"Data Analyst","Lead","Contract",False,66484,115784,"Germany","2025-02-06"
99,86,"DevOps Engineer","Mid","Internship",False,67308,127199,"India","2025-11-21"
100,123,"Software Engineer","Junior","Contract",True,74543,111226,"UK","2025-08-13"
101,111,"Data Analyst","Mid","Contract",False,47184,145024,"USA","2025-10-12"
102,133,"Software Engineer","Senior","Full-time",True,48155,149856,"UK","2025-08-27"
103,24,"Software Engineer","Mid","Internship",True,41837,130718,"UK","2025-04-15"
104,145,"Data Analyst","Junior","Contract",True,54325,123430,"USA","2025-12-16"
105,117,"DevOps Engineer","Senior","Contract",True,63113,148335,"Canada","2025-02-16"
106,126,"DevOps Engineer","Mid","Contract",True,50457,116304,"Remote","2025-05-28"
107,80,"Software Engineer","Lead","Full-time",True,53388,129689,"Germany","2025-03-08"
108,145,"Software Engineer","Mid","Internship",True,58829,127476,"India","2026-01-18"
109,66,"Software Engineer","Mid","Full-time",True,50027,135374,"Canada","2025-09-19"
110,108,"DevOps Engineer","Junior","Contract",False,61442,149480,"Canada","2025-10-14"
111,65,"Data Analyst","Senior","Contract",False,46958,138754,"Germany","2025-12-17"
112,49,"Software Engineer","Junior","Internship",False,52245,109871,"Canada","2025-11-22"
113,52,"Software Engineer","Junior","Internship",False,40301,96837,"UK","2025-11-07"
114,32,"Software Engineer","Mid","Contract",True,69237,134000,"India","2025-11-02"
115,75,"Product Manager","Junior","Contract",True,59901,92440,"Germany","2025-12-28"
116,126,"Software Engineer","Senior","Full-time",False,78089,147553,"India","2025-09-22"
117,12,"Data Analyst","Junior","Internship",False,79755,111750,"Germany","2026-01-03"
118,34,"QA Engineer","Junior","Contract",False,50275,115629,"Germany","2025-11-22"
119,73,"Product Manager","Mid","Full-time",False,56110,138941,"UK","2025-11-24"
120,22,"Software Engineer","Mid","Full-time",True,78856,129534,"Canada","2025-12-18"
121,22,"Data Analyst","Senior","Internship",True,51529,101591,"India","2025-05-22"
122,6,"Software Engineer","Junior","Internship",True,67651,134853,"Remote","2025-06-11"
123,30,"Product Manager","Senior","Full-time",False,64125,140515,"India","2025-06-08"
124,112,"Software Engineer","Lead","Full-time",False,50484,123879,"Germany","2025-11-13"
125,37,"Software Engineer","Mid","Internship",True,55996,141453,"Germany","2025-11-24"
126,33,"Product Manager","Lead","Full-time",False,65629,101854,"Germany","2025-08-10"
127,141,"Product Manager","Lead","Full-time",True,78709,139326,"Germany","2025-02-03"
128,27,"DevOps Engineer","Junior","Full-time",False,79575,98260,"USA","2025-10-15"
129,8,"Data Analyst","Mid","Contract",False,71227,123528,"USA","2025-08-26"
130,132,"DevOps Engineer","Lead","Full-time",False,72397,136288,"India","2025-05-08"
131,149,"DevOps Engineer","Mid","Full-time",True,57956,97689,"UK","2026-01-21"
132,94,"DevOps Engineer","Senior","Full-time",True,45363,116541,"USA","2025-09-14"
133,92,"Data Analyst","Junior","Internship",True,46310,108348,"UK","2025-02-18"
134,52,"Software Engineer","Senior","Full-time",True,46821,99803,"Canada","2025-09-25"
135,8,"QA Engineer","Lead","Full-time",False,61891,112993,"USA","2025-10-18"
136,40,"Software Engineer","Junior","Internship",False,49089,141169,"Remote","2025-09-20"
137,139,"Software Engineer","Junior","Full-time",True,60732,102130,"Canada","2025-08-17"
138,22,"DevOps Engineer","Mid","Full-time",True,43468,129964,"UK","2025-12-03"
139,113,"Software Engineer","Mid","Contract",False,65543,119844,"USA","2026-01-18"
140,26,"Software Engineer","Lead","Internship",True,42049,122907,"Canada","2025-08-27"
141,145,"QA Engineer","Mid","Contract",True,75625,130609,"UK","2025-12-03"
142,52,"DevOps Engineer","Senior","Contract",False,41508,102812,"Canada","2025-08-18"
143,37,"QA Engineer","Lead","Internship",True,57991,108195,"Canada","2025-10-08"
144,50,"QA Engineer","Lead","Contract",False,63820,124169,"USA","2025-04-30"
145,79,"QA Engineer","Mid","Contract",True,56907,130333,"UK","2025-06-20"
146,45,"Product Manager","Junior","Internship",True,42759,130948,"India","2025-12-24"
147,62,"Product Manager","Junior","Contract",False,63319,133945,"Germany","2025-06-05"
148,145,"Data Analyst","Lead","Contract",False,55362,142864,"India","2025-12-16"
149,140,"Software Engineer","Lead","Contract",True,62837,110783,"UK","2025-07-04"
150,133,"Data Analyst","Senior","Contract",False,66841,143907,"Remote","2025-12-30"
151,120,"Product Manager","Junior","Full-time",True,78848,138538,"Remote","2025-06-21"
152,26,"QA Engineer","Junior","Full-time",False,57294,139345,"UK","2025-03-09"
153,113,"Product Manager","Senior","Full-time",False,66328,106627,"Remote","2025-01-31"
154,63,"Software Engineer","Junior","Full-time",False,73400,95540,"Germany","2025-09-30"
155,53,"Product Manager","Lead","Contract",True,54066,146843,"Germany","2025-04-02"
156,56,"Data Analyst","Senior","Contract",False,61268,93937,"Germany","2025-02-06"
157,50,"Product Manager","Lead","Contract",True,70341,104696,"USA","2025-04-21"
158,37,"QA Engineer","Senior","Internship",True,45116,94608,"Canada","2026-01-14"
159,52,"Data Analyst","Senior","Full-time",False,77962,149112,"UK","2026-01-20"
160,94,"Product Manager","Senior","Contract",False,79432,103051,"USA","2025-04-26"
161,10,"DevOps Engineer","Senior","Internship",True,75825,119398,"Remote","2026-01-13"
162,111,"Data Analyst","Senior","Internship",True,68574,112608,"India","2025-06-18"
163,150,"DevOps Engineer","Senior","Internship",True,54999,142607,"UK","2025-06-21"
164,101,"Data Analyst","Junior","Contract",True,48223,115573,"India","2025-10-07"
165,57,"QA Engineer","Junior","Internship",False,68455,134941,"Remote","2026-01-19"
166,46,"Product Manager","Junior","Contract",False,47978,146553,"Germany","2025-10-19"
167,131,"Product Manager","Lead","Contract",True,56219,148449,"Canada","2025-10-31"
168,110,"Product Manager","Lead","Internship",False,43515,121747,"Remote","2025-12-09"
169,62,"QA Engineer","Junior","Internship",True,62726,101150,"Germany","2025-11-29"
170,149,"Data Analyst","Junior","Contract",True,68292,108303,"Germany","2025-09-20"
171,56,"Product Manager","Senior","Internship",False,55924,90066,"Remote","2025-08-24"
172,52,"Data Analyst","Senior","Contract",True,74508,124012,"Canada","2025-04-18"
173,32,"Product Manager","Lead","Contract",True,76630,107204,"Canada","2025-08-22"
174,60,"DevOps Engineer","Junior","Internship",True,54649,93569,"Remote","2025-07-13"
175,65,"Software Engineer","Mid","Contract",False,67847,137491,"Canada","2025-01-29"
176,46,"DevOps Engineer","Senior","Internship",True,79036,146909,"Canada","2026-01-20"
177,125,"Product Manager","Junior","Full-time",False,44988,99410,"Canada","2025-07-24"
178,133,"Product Manager","Junior","Internship",False,61312,149850,"Canada","2026-01-17"
179,67,"DevOps Engineer","Junior","Full-time",False,61302,141261,"USA","2025-11-30"
180,1,"DevOps Engineer","Lead","Contract",True,58060,143798,"Remote","2025-10-09"
181,62,"Data Analyst","Lead","Full-time",True,53515,94948,"USA","2026-01-12"
182,49,"QA Engineer","Junior","Contract",False,51602,110160,"India","2025-12-03"
183,46,"Software Engineer","Junior","Full-time",True,75257,109302,"India","2025-10-06"
184,94,"Product Manager","Junior","Full-time",True,64653,147937,"Remote","2025-06-05"
185,74,"QA Engineer","Senior","Contract",False,68059,109894,"UK","2025-07-11"
186,58,"Product Manager","Mid","Internship",False,44958,107655,"Germany","2025-09-24"
187,18,"Software Engineer","Lead","Full-time",False,46246,108203,"Canada","2025-10-04"
188,8,"DevOps Engineer","Senior","Contract",True,70741,142284,"Canada","2026-01-03"
189,145,"Data Analyst","Lead","Internship",False,46428,121474,"UK","2025-08-22"
190,36,"DevOps Engineer","Senior","Internship",False,52418,99986,"Germany","2026-01-02"
191,65,"Data Analyst","Junior","Contract",True,74651,111094,"India","2026-01-01"
192,63,"Software Engineer","Senior","Full-time",True,45784,106033,"Germany","2025-08-29"
193,125,"QA Engineer","Junior","Internship",False,48974,129631,"Remote","2025-12-05"
194,94,"Product Manager","Senior","Contract",True,61305,100433,"UK","2025-03-26"
195,116,"Software Engineer","Junior","Internship",True,58726,123438,"USA","2025-07-09"
196,94,"QA Engineer","Mid","Contract",False,44780,101146,"UK","2025-08-17"
197,30,"DevOps Engineer","Junior","Contract",True,77414,114192,"UK","2025-12-17"
198,109,"Product Manager","Mid","Contract",True,45211,98747,"India","2025-05-16"
199,5,"Software Engineer","Lead","Internship",True,79459,130159,"UK","2025-12-31"
200,8,"Software Engineer","Senior","Contract",True,42454,111368,"Germany","2025-11-04"
201,26,"DevOps Engineer","Mid","Contract",True,74319,105816,"Remote","2025-10-18"
202,146,"QA Engineer","Mid","Internship",True,52629,114864,"Canada","2025-12-17"
203,143,"DevOps Engineer","Mid","Contract",True,60021,106409,"Canada","2025-08-27"
204,75,"DevOps Engineer","Mid","Contract",False,65638,130329,"Remote","2025-02-11"
205,83,"Software Engineer","Lead","Full-time",True,45765,147614,"USA","2025-05-25"
206,60,"DevOps Engineer","Lead","Full-time",False,76029,130365,"Remote","2025-08-08"
207,117,"Product Manager","Mid","Internship",False,52322,115172,"Germany","2025-06-22"
208,73,"QA Engineer","Mid","Full-time",False,54181,122873,"India","2025-12-16"
209,55,"Product Manager","Junior","Contract",False,41647,144436,"Canada","2026-01-04"
210,26,"DevOps Engineer","Senior","Contract",True,65598,140299,"UK","2025-10-11"
211,81,"Data Analyst","Lead","Internship",False,77119,137547,"UK","2025-04-22"
212,26,"QA Engineer","Senior","Internship",True,77982,143444,"USA","2025-04-09"
213,133,"Product Manager","Lead","Full-time",True,42457,98470,"UK","2025-09-22"
214,3,"Product Manager","Junior","Internship",True,76248,114389,"UK","2025-04-01"
215,86,"Software Engineer","Senior","Internship",False,40350,107641,"Remote","2025-06-12"
216,35,"Data Analyst","Lead","Full-time",True,67735,104271,"India","2025-10-21"
217,29,"Product Manager","Senior","Internship",False,56957,111909,"Canada","2025-12-14"
218,81,"QA Engineer","Lead","Contract",False,42107,102228,"India","2026-01-10"
219,55,"Product Manager","Junior","Full-time",False,46715,137415,"UK","2025-06-02"
220,123,"Product Manager","Junior","Contract",False,50925,132146,"Remote","2025-10-26"
221,7,"Software Engineer","Mid","Full-time",True,47025,137436,"Canada","2025-04-28"
222,59,"Product Manager","Junior","Internship",True,46211,102058,"USA","2025-05-20"
223,68,"DevOps Engineer","Mid","Contract",False,70361,108214,"Germany","2025-03-24"
224,87,"Data Analyst","Junior","Full-time",False,51669,108260,"Remote","2025-06-02"
225,140,"QA Engineer","Junior","Internship",True,69106,113207,"India","2025-09-16"
226,24,"QA Engineer","Junior","Contract",False,76721,141203,"Remote","2025-03-27"
227,138,"Software Engineer","Lead","Contract",True,42087,91756,"Canada","2026-01-18"
228,119,"Data Analyst","Lead","Full-time",True,59042,108265,"USA","2025-10-11"
229,95,"Data Analyst","Mid","Contract",True,66917,136226,"UK","2025-11-09"
230,141,"QA Engineer","Mid","Contract",True,76799,98247,"Germany","2025-06-15"
231,84,"Product Manager","Senior","Full-time",False,61104,116924,"Canada","2025-03-29"
232,117,"Product Manager","Junior","Internship",False,60021,91287,"Canada","2025-11-01"
233,115,"QA Engineer","Lead","Full-time",False,65780,144684,"UK","2025-08-11"
234,54,"Software Engineer","Junior","Internship",False,77254,136285,"Germany","2025-08-30"
235,31,"Software Engineer","Senior","Contract",False,70370,121440,"UK","2025-09-14"
236,108,"Data Analyst","Junior","Internship",False,72720,107126,"Germany","2025-03-05"
237,43,"Software Engineer","Senior","Full-time",False,77904,107268,"Germany","2025-12-05"
238,95,"Software Engineer","Senior","Internship",True,48628,100127,"India","2025-08-29"
239,123,"DevOps Engineer","Mid","Full-time",False,49824,115749,"UK","2025-01-24"
240,44,"DevOps Engineer","Mid","Full-time",False,56991,97255,"Germany","2025-06-14"
241,33,"DevOps Engineer","Junior","Full-time",False,69738,147871,"Remote","2025-05-02"
242,137,"Software Engineer","Lead","Contract",False,60132,110608,"Remote","2025-02-07"
243,19,"DevOps Engineer","Junior","Contract",False,44941,137300,"UK","2025-07-30"
244,25,"Data Analyst","Mid","Internship",True,77990,149486,"Germany","2025-03-18"
245,40,"Data Analyst","Junior","Full-time",False,60499,125111,"Remote","2026-01-09"
246,67,"QA Engineer","Junior","Contract",True,77345,149090,"USA","2025-03-31"
247,126,"Software Engineer","Mid","Full-time",False,76355,99690,"UK","2025-06-25"
248,126,"Data Analyst","Lead","Full-time",False,62550,127028,"Remote","2025-03-12"
249,29,"DevOps Engineer","Mid","Contract",False,58376,130026,"Germany","2025-02-14"
250,26,"QA Engineer","Mid","Internship",False,51512,93544,"India","2025-06-22"
251,64,"Product Manager","Lead","Contract",True,57371,101335,"Remote","2025-06-22"
252,73,"Data Analyst","Junior","Internship",True,56726,140286,"Remote","2025-12-23"
253,59,"Software Engineer","Mid","Internship",False,76710,105636,"Canada","2025-08-02"
254,60,"QA Engineer","Junior","Internship",True,43939,145189,"Canada","2025-05-10"
255,55,"Software Engineer","Senior","Full-time",False,69465,106397,"Remote","2025-04-28"
256,117,"Data Analyst","Junior","Full-time",True,46878,130725,"India","2025-02-23"
257,54,"DevOps Engineer","Lead","Contract",True,47967,130149,"UK","2025-12-14"
258,49,"Software Engineer","Lead","Internship",False,71262,144947,"Germany","2025-11-08"
259,69,"Data Analyst","Mid","Full-time",True,74486,102301,"India","2025-08-02"
260,44,"Product Manager","Senior","Full-time",False,50823,139092,"Remote","2025-03-20"
261,26,"Software Engineer","Mid","Full-time",False,49690,138021,"Germany","2025-02-17"
262,73,"Product Manager","Mid","Internship",True,57321,136766,"Germany","2025-10-13"
263,55,"DevOps Engineer","Senior","Contract",True,66475,146230,"Remote","2025-05-19"
264,91,"DevOps Engineer","Lead","Contract",True,61012,123487,"UK","2025-01-31"
265,12,"Data Analyst","Lead","Full-time",False,64748,93827,"USA","2025-03-25"
266,87,"Data Analyst","Lead","Internship",True,75861,147683,"USA","2025-08-02"
267,105,"Product Manager","Lead","Full-time",True,48821,128233,"India","2025-11-27"
268,54,"Data Analyst","Senior","Full-time",False,69326,145429,"Germany","2026-01-18"
269,70,"Software Engineer","Lead","Full-time",False,58716,93955,"USA","2025-03-09"
270,39,"QA Engineer","Lead","Internship",True,50545,134728,"India","2025-09-13"
271,107,"Product Manager","Senior","Full-time",False,53789,92894,"India","2025-03-25"
272,13,"Product Manager","Mid","Full-time",False,76058,124497,"USA","2025-08-25"
273,38,"Software Engineer","Lead","Full-time",False,70159,118548,"Canada","2025-02-08"
274,73,"DevOps Engineer","Senior","Contract",False,64450,99544,"UK","2025-06-21"
275,27,"Product Manager","Lead","Internship",True,52845,92720,"USA","2025-09-18"
276,51,"QA Engineer","Senior","Internship",True,68772,132534,"India","2025-10-28"
277,55,"Data Analyst","Mid","Full-time",False,52001,113283,"Remote","2025-12-14"
278,148,"Data Analyst","Senior","Contract",True,49200,92354,"UK","2025-06-30"
279,24,"QA Engineer","Senior","Internship",True,61041,93435,"UK","2025-11-03"
280,35,"QA Engineer","Mid","Contract",True,62887,119100,"Remote","2025-09-17"
281,111,"Product Manager","Junior","Full-time",True,73429,100684,"UK","2025-06-16"
282,78,"Data Analyst","Junior","Internship",True,60281,124047,"Remote","2026-01-13"
283,123,"Software Engineer","Lead","Internship",True,58283,142744,"Canada","2025-08-23"
284,46,"QA Engineer","Junior","Internship",False,55654,112032,"India","2025-07-23"
285,68,"Software Engineer","Junior","Internship",True,44622,108743,"USA","2025-12-24"
286,59,"Data Analyst","Mid","Full-time",True,73116,109509,"Remote","2025-09-23"
287,61,"DevOps Engineer","Junior","Contract",False,76747,126831,"India","2025-06-30"
288,20,"DevOps Engineer","Senior","Full-time",False,43988,97073,"Canada","2026-01-08"
289,35,"QA Engineer","Senior","Contract",False,45276,91087,"Germany","2025-07-17"
290,75,"DevOps Engineer","Mid","Full-time",False,74402,97665,"India","2025-02-24"
291,70,"QA Engineer","Junior","Full-time",False,50890,142313,"UK","2025-03-31"
292,27,"Software Engineer","Junior","Contract",False,44629,148927,"USA","2025-04-10"
293,89,"Software Engineer","Lead","Contract",True,74127,145552,"USA","2025-02-12"
294,65,"Software Engineer","Mid","Internship",False,67247,130251,"India","2025-04-09"
295,147,"DevOps Engineer","Senior","Contract",False,61544,104365,"USA","2026-01-19"
296,29,"Product Manager","Junior","Contract",False,71617,101970,"Canada","2025-06-05"
297,118,"Data Analyst","Junior","Full-time",False,46738,113014,"USA","2025-04-04"
298,9,"Software Engineer","Lead","Contract",True,43857,117500,"Canada","2025-06-21"
299,145,"Software Engineer","Lead","Full-time",True,62053,111666,"Germany","2025-02-10"
300,4,"Software Engineer","Mid","Contract",False,41624,94698,"India","2025-04-15"
301,37,"DevOps Engineer","Junior","Contract",True,76061,107326,"Canada","2025-07-31"
302,58,"DevOps Engineer","Senior","Full-time",False,78769,147377,"Germany","2025-12-18"
303,37,"DevOps Engineer","Mid","Full-time",False,52253,94698,"UK","2025-04-17"
304,57,"DevOps Engineer","Lead","Internship",True,50590,114945,"India","2025-12-04"
305,96,"Data Analyst","Senior","Internship",False,40106,128323,"Remote","2025-06-24"
306,24,"QA Engineer","Mid","Full-time",True,68770,142792,"USA","2025-02-26"
307,42,"Data Analyst","Lead","Full-time",True,71926,119454,"Canada","2025-08-04"
308,128,"Product Manager","Senior","Contract",True,74532,135288,"Germany","2025-11-19"
309,82,"DevOps Engineer","Lead","Internship",True,59827,142833,"Germany","2025-09-04"
310,116,"Product Manager","Senior","Full-time",False,40328,110265,"UK","2025-10-11"
311,9,"Product Manager","Senior","Internship",False,45852,93978,"Germany","2025-04-26"
312,21,"DevOps Engineer","Lead","Contract",False,55005,98800,"Canada","2025-02-07"
313,66,"DevOps Engineer","Junior","Internship",True,41633,116299,"India","2025-11-30"
314,78,"Product Manager","Senior","Full-time",True,42985,142653,"Canada","2025-09-05"
315,91,"DevOps Engineer","Mid","Full-time",True,74084,119796,"India","2025-10-08"
316,63,"Data Analyst","Mid","Internship",True,75647,91492,"Germany","2025-05-18"
317,99,"Product Manager","Lead","Contract",False,68639,130701,"Germany","2025-07-06"
318,41,"Software Engineer","Lead","Contract",False,59150,128113,"Canada","2025-10-10"
319,121,"DevOps Engineer","Mid","Contract",True,71129,96619,"USA","2025-08-26"
320,61,"DevOps Engineer","Lead","Internship",False,46532,133982,"USA","2025-12-26"
321,41,"QA Engineer","Junior","Internship",True,75019,126349,"Canada","2026-01-14"
322,100,"Product Manager","Junior","Full-time",False,47835,93623,"India","2025-09-02"
323,110,"QA Engineer","Senior","Contract",False,67681,115385,"India","2025-03-06"
324,3,"QA Engineer","Junior","Full-time",False,56919,115182,"Remote","2025-08-31"
325,103,"QA Engineer","Lead","Internship",True,72031,101700,"USA","2025-09-26"
326,46,"QA Engineer","Lead","Contract",True,44762,134187,"Germany","2025-06-10"
327,98,"QA Engineer","Lead","Internship",True,76572,118610,"Canada","2025-05-07"
328,61,"QA Engineer","Senior","Full-time",True,44124,98904,"Remote","2025-03-06"
329,26,"Software Engineer","Lead","Contract",False,75589,97840,"Remote","2025-08-02"
330,129,"QA Engineer","Mid","Full-time",False,66778,91280,"USA","2026-01-07"
331,9,"Product Manager","Senior","Full-time",False,52326,144623,"India","2025-12-28"
332,71,"Software Engineer","Senior","Full-time",True,59454,96005,"Remote","2025-04-04"
333,74,"QA Engineer","Lead","Full-time",False,73008,108929,"Canada","2025-07-01"
334,33,"Software Engineer","Mid","Internship",True,52404,105866,"Canada","2025-11-20"
335,52,"Data Analyst","Lead","Full-time",False,75958,149643,"Germany","2025-10-02"
336,129,"DevOps Engineer","Lead","Full-time",False,79388,96280,"Remote","2025-07-16"
337,74,"Data Analyst","Senior","Internship",True,69879,95433,"Canada","2025-04-16"
338,120,"DevOps Engineer","Mid","Contract",False,75575,124311,"USA","2025-02-20"
339,3,"Product Manager","Lead","Contract",True,72588,138330,"Remote","2026-01-04"
340,143,"DevOps Engineer","Junior","Contract",True,46681,92592,"Canada","2025-06-27"
