"interview_id","application_id","interview_round","interview_type","interview_score","interview_date"
68,6624,3,"HR","4.83","2025-03-30"
69,6585,2,"Phone","1.77","2025-12-05"
70,1514,3,"Phone","2.15","2025-09-08"
71,2819,2,"Technical","1.68","2025-04-25"
72,972,4,"Managerial","2.40","2025-04-06"
73,6069,1,"Technical","4.29","2025-08-03"
74,7922,3,"Phone","1.31","2025-07-23"
75,2862,3,"Phone","4.13","2025-04-06"
76,337,1,"HR","1.43","2025-11-26"
77,2769,1,"Managerial","4.56","2025-08-12"
78,2886,2,"Managerial","2.53","2025-12-18"
79,2560,2,"Managerial","1.88","2026-01-02"
80,7417,1,"Phone","4.24","2026-01-16"
81,2175,2,"Managerial","1.32","2025-10-12"
82,5895,2,"Phone","3.35","2025-06-25"
83,1962,4,"Phone","4.81","2025-11-03"
84,7328,3,"Managerial","3.20","2025-06-01"
85,1353,3,"Technical","4.49","2025-04-01"
86,688,2,"HR","4.05","2025-04-14"
87,11255,1,"Managerial","3.94","2025-11-02"
88,5869,3,"Technical","2.19","2025-07-22"
89,3149,4,"HR","3.80","2025-09-12"
90,5760,1,"Managerial","4.39","2025-12-08"
91,4278,3,"Phone","2.80","2025-04-08"
92,6280,2,"HR","4.27","2025-11-04"
93,426,3,"Phone","1.18","2025-03-30"
94,491,3,"HR","4.29","2025-09-14"
95,10644,2,"Phone","4.87","2025-06-15"
96,7841,3,"Phone","3.73","2026-01-06"
97,7550,4,"Phone","2.72","2025-10-15"
98,9288,3,"Managerial","2.77","2025-09-24"
99,3035,4,"Phone","4.11","2025-05-01"
100,52,4,"HR","4.25","2025-07-04"
101,6408,4,"HR","2.73","2025-07-02"
102,3973,3,"HR","1.91","2025-05-26"
103,3547,4,"Managerial","4.86","2025-04-29"
104,7861,3,"Phone","4.54","2025-05-11"
105,2579,2,"HR","1.67","2025-04-04"
106,11578,3,"Technical","4.41","2025-11-15"
107,1878,3,"Technical","3.05","2026-01-06"
108,3246,2,"Technical","2.24","2025-05-08"
109,9467,3,"Phone","3.79","2025-05-10"
110,4733,4,"Managerial","2.48","2025-11-04"
111,10664,3,"Managerial","3.48","2025-10-03"
112,9089,4,"Managerial","2.18","2025-08-05"
113,8953,4,"Phone","3.44","2025-09-29"
114,4812,4,"Phone","3.42","2025-07-26"
115,8519,3,"Managerial","3.26","2025-12-28"
116,1791,1,"Technical","1.08","2025-04-01"
117,6141,4,"Phone","4.50","2025-12-01"
118,331,1,"Managerial","1.40","2025-09-18"
119,7716,3,"Managerial","3.64","2025-05-30"
120,980,1,"HR","4.63","2025-04-24"
121,1989,3,"Managerial","1.50","2025-04-01"
122,1620,4,"Managerial","3.40","2025-07-27"
123,1217,4,"Managerial","4.24","2025-11-09"
124,1124,2,"Technical","3.65","2025-11-26"
125,6415,4,"Phone","4.80","2025-09-28"
126,8297,3,"Technical","3.50","2025-07-05"
127,1332,4,"Technical","1.42","2025-08-13"
128,11473,4,"Technical","4.94","2025-10-28"
129,2425,2,"Phone","1.26","2025-07-03"
130,11867,3,"Phone","1.75","2025-10-22"
131,11123,4,"Managerial","4.72","2025-12-30"
132,64,1,"HR","3.65","2025-05-12"
133,11791,1,"HR","4.83","2025-07-01"
134,7354,1,"Technical","4.00","2025-07-28"
135,7274,2,"Managerial","2.60","2025-12-03"
136,2864,3,"Phone","3.82","2025-06-10"
137,11802,4,"HR","4.61","2025-05-05"
138,11173,1,"Managerial","3.26","2025-12-25"
139,5295,4,"Managerial","4.67","2025-12-12"
140,1227,1,"Phone","4.27","2026-01-09"
141,1410,3,"HR","2.72","2025-08-24"
142,7062,2,"Phone","3.77","2025-04-14"
143,5041,3,"HR","4.65","2025-11-26"
144,2919,4,"HR","4.48","2025-12-01"
145,3839,3,"HR","2.88","2025-10-29"
146,9526,2,"HR","4.98","2026-01-04"
147,8114,2,"HR","4.37","2025-12-08"
148,27,4,"Managerial","4.90","2025-06-17"
149,7596,3,"Managerial","1.97","2025-08-24"
150,264,1,"HR","4.77","2025-06-15"
151,6867,3,"Phone","3.92","2025-10-19"
152,8486,2,"Technical","1.93","2025-12-07"
153,84,4,"Phone","4.41","2025-06-11"
154,5326,1,"Managerial","3.41","2025-08-07"
155,9034,3,"Phone","4.45","2025-05-12"
156,602,2,"Phone","3.58","2025-06-07"
157,11642,3,"Technical","1.08","2025-10-27"
158,8601,2,"HR","1.23","2025-06-01"
159,7226,4,"Managerial","1.10","2025-11-30"
160,6110,4,"Managerial","3.10","2025-10-12"
161,10668,3,"Technical","2.45","2025-09-14"
162,10204,3,"HR","2.29","2025-06-09"
163,6022,2,"Technical","2.08","2025-11-26"
164,1629,4,"Managerial","2.58","2025-04-21"
165,11634,2,"Technical","2.00","2025-07-03"
166,1610,4,"Phone","3.72","2025-08-08"
167,10080,2,"HR","3.83","2025-10-31"
168,6092,3,"Phone","3.80","2025-12-17"
169,10292,1,"Technical","2.91","2025-07-18"
170,1298,1,"Phone","1.92","2025-12-29"
171,5160,3,"HR","1.79","2025-12-03"
172,2467,4,"HR","4.71","2025-08-12"
173,8989,4,"HR","2.16","2025-04-15"
174,1677,3,"Phone","4.52","2025-07-06"
175,9768,2,"Managerial","2.23","2025-06-08"
176,6699,1,"Technical","2.01","2025-04-17"
177,6087,3,"Technical","1.73","2025-09-14"
178,3066,4,"Technical","3.12","2025-12-20"
179,603,2,"HR","1.02","2025-09-02"
180,9970,1,"HR","3.19","2026-01-07"
181,10730,3,"Managerial","3.19","2026-01-01"
182,2454,3,"Managerial","3.86","2025-09-27"
183,6787,3,"Technical","3.92","2025-08-19"
184,8121,2,"HR","4.37","2025-05-16"
185,7375,2,"HR","1.25","2025-07-16"
186,11645,4,"HR","3.82","2025-05-01"
187,2207,3,"Phone","2.83","2025-04-12"
188,7198,1,"Managerial","3.09","2025-06-18"
189,10963,2,"Technical","3.83","2025-12-06"
190,1418,4,"Technical","3.67","2025-06-09"
191,3660,3,"Phone","4.20","2025-07-31"
192,2733,3,"HR","2.53","2025-08-02"
193,1012,2,"Phone","3.89","2025-05-09"
194,8419,2,"Managerial","2.00","2025-09-01"
195,5245,2,"HR","1.39","2025-05-30"
196,739,1,"Technical","2.63","2025-10-11"
197,8034,2,"HR","3.51","2025-11-28"
198,912,3,"Technical","1.61","2025-10-17"
199,7509,4,"Phone","2.84","2025-04-09"
200,10194,4,"Technical","2.95","2025-04-23"
201,2902,3,"HR","1.23","2025-05-10"
202,3746,3,"Technical","2.20","2025-09-25"
203,1944,1,"HR","2.13","2025-06-06"
204,9876,2,"HR","4.73","2025-05-20"
205,8997,4,"HR","1.43","2025-05-21"
206,4610,4,"Phone","3.37","2025-04-15"
207,7054,1,"Technical","3.81","2025-08-05"
208,4039,3,"Phone","2.37","2025-05-14"
209,823,1,"Phone","1.08","2025-11-17"
210,3229,3,"Managerial","2.21","2025-09-30"
211,2772,4,"Phone","1.91","2025-12-06"
212,9369,4,"Managerial","1.10","2025-09-23"
213,688,4,"Technical","1.31","2025-06-23"
214,5488,2,"Managerial","3.26","2025-04-09"
215,7434,2,"Phone","4.61","2025-11-03"
216,9951,2,"Managerial","3.93","2025-09-25"
217,3992,3,"Phone","3.05","2025-12-08"
218,8895,4,"Phone","3.10","2025-12-07"
219,4195,2,"HR","4.47","2026-01-01"
220,7734,3,"Phone","2.91","2025-05-26"
221,11558,4,"Phone","3.07","2026-01-17"
222,1354,2,"Technical","2.79","2025-07-07"
223,7503,3,"Phone","2.97","2025-08-28"
224,5579,2,"Technical","3.11","2025-10-24"
225,2632,3,"HR","2.78","2025-03-29"
226,8816,4,"Technical","4.79","2025-06-30"
227,1336,4,"HR","3.70","2025-07-19"
228,8902,1,"Managerial","3.79","2026-01-03"
229,1357,1,"Technical","4.71","2025-06-19"
230,5821,4,"Managerial","3.68","2025-11-04"
231,7669,4,"Phone","2.74","2025-08-10"
232,10361,2,"Phone","1.76","2025-08-06"
233,10258,2,"Managerial","1.33","2025-09-24"
234,9604,2,"Managerial","3.63","2025-05-08"
235,2838,1,"Technical","4.58","2025-10-05"
236,6706,2,"Phone","2.39","2025-09-26"
237,3179,4,"Phone","4.45","2025-09-09"
238,10188,4,"Technical","4.99","2025-05-08"
239,1202,2,"Phone","4.47","2025-09-09"
240,59,1,"HR","1.26","2025-05-28"
241,1980,2,"Managerial","4.62","2025-07-28"
242,6458,2,"HR","4.24","2025-07-07"
243,5269,2,"HR","1.07","2025-08-06"
244,4751,1,"Phone","1.99","2025-09-28"
245,4833,4,"Technical","3.36","2026-01-15"
246,1855,3,"Managerial","4.72","2025-04-11"
247,11385,2,"Phone","4.53","2025-04-08"
248,10681,1,"Technical","2.21","2025-05-25"
249,7543,4,"HR","1.58","2025-11-19"
250,4537,4,"Technical","2.76","2025-05-04"
251,7183,4,"HR","3.87","2025-12-08"
252,4704,3,"Phone","3.20","2025-10-28"
253,9732,4,"Managerial","2.70","2025-04-06"
254,8130,4,"Managerial","4.01","2025-12-15"
255,11004,4,"Phone","4.41","2025-11-18"
256,1880,1,"Phone","4.23","2025-07-18"
257,9495,4,"Phone","2.27","2025-06-22"
258,7515,2,"Technical","3.45","2025-04-05"
259,5610,1,"Phone","4.31","2025-06-05"
260,3022,2,"Managerial","3.66","2025-03-31"
261,8843,4,"Technical","2.87","2025-06-29"
262,9076,1,"Managerial","1.61","2025-11-25"
263,3003,3,"Phone","2.63","2026-01-05"
264,5211,3,"HR","2.32","2025-06-21"
265,9811,4,"Phone","2.35","2025-10-13"
266,7597,2,"Technical","1.91","2025-06-07"
267,3695,4,"Technical","2.54","2025-11-07"
268,5766,3,"HR","3.49","2025-10-30"
269,223,1,"Phone","2.54","2025-08-06"
270,10532,2,"HR","3.66","2025-06-27"
271,8324,1,"Phone","1.39","2025-04-29"
272,7556,2,"Phone","2.58","2025-11-18"
273,278,1,"Managerial","4.15","2025-08-05"
274,1507,1,"HR","4.61","2025-07-04"
275,1871,2,"Phone","4.82","2025-06-30"
276,2944,2,"Managerial","4.18","2025-12-13"
277,11957,2,"Phone","3.06","2025-07-22"
278,1755,1,"Managerial","3.18","2025-09-22"
279,11241,3,"Phone","4.16","2025-09-25"
280,10180,3,"Technical","3.29","2025-04-28"
281,799,4,"HR","3.31","2025-10-29"
282,1873,3,"Phone","2.17","2025-04-10"
283,221,4,"HR","1.56","2025-05-02"
284,1911,4,"Phone","1.81","2025-12-14"
285,7797,3,"HR","2.16","2025-11-13"
286,11713,3,"Technical","2.43","2025-08-21"
287,4936,3,"HR","4.32","2026-01-19"
288,1816,4,"Technical","3.88","2025-10-15"
289,7958,2,"Phone","1.08","2025-08-04"
290,769,1,"Technical","3.98","2025-08-24"
291,4148,4,"Managerial","2.08","2025-06-30"
292,911,4,"Managerial","4.40","2025-11-09"
293,6968,3,"Phone","2.70","2025-08-03"
294,3453,1,"HR","4.82","2025-07-04"
295,5724,4,"HR","3.16","2026-01-02"
296,1018,1,"Phone","2.37","2025-05-30"
297,422,3,"Phone","4.52","2025-07-22"
298,5895,3,"Managerial","3.52","2025-06-18"
299,4744,3,"HR","1.17","2025-09-03"
300,1306,2,"Managerial","4.61","2025-09-09"
301,6283,4,"Managerial","4.03","2025-09-18"
302,6328,4,"HR","2.71","2025-11-27"
303,3230,4,"Technical","1.70","2025-06-17"
304,827,4,"HR","2.89","2025-11-13"
305,7002,1,"Managerial","1.37","2025-07-24"
306,11621,3,"HR","1.30","2025-07-03"
307,106,1,"Managerial","1.81","2025-09-13"
308,9440,2,"Technical","2.32","2025-08-18"
309,6597,1,"Managerial","2.08","2025-10-12"
310,461,3,"HR","3.89","2026-01-10"
311,6417,1,"HR","3.75","2025-05-05"
312,3775,1,"HR","2.33","2025-12-17"
313,3739,2,"Phone","4.93","2025-04-20"
314,4518,3,"Phone","2.33","2025-09-29"
315,9097,3,"HR","4.13","2025-06-19"
316,1907,3,"Phone","1.28","2025-11-07"
317,6523,2,"Managerial","3.89","2025-05-10"
318,1049,2,"Phone","2.42","2025-09-02"
319,6973,4,"Technical","1.54","2025-09-15"
320,11906,4,"Technical","4.01","2025-04-23"
321,7895,3,"HR","4.31","2025-05-26"
322,9430,3,"Phone","2.40","2025-07-23"
323,5585,4,"Managerial","2.68","2025-12-22"
324,1158,1,"Managerial","2.95","2025-04-02"
325,4708,2,"Phone","1.60","2025-11-13"
326,5547,2,"HR","2.53","2025-10-15"
327,7682,2,"Managerial","3.30","2025-06-17"
328,9137,1,"HR","2.65","2025-09-22"
329,10295,3,"HR","2.05","2025-10-29"
330,3329,1,"Technical","4.20","2025-10-16"
331,8208,2,"Phone","4.05","2025-10-30"
332,235,2,"Phone","1.30","2025-05-21"
333,545,1,"HR","4.14","2025-12-18"
334,3274,3,"HR","4.82","2025-07-28"
335,5944,2,"HR","4.12","2025-05-27"
336,6416,3,"Managerial","1.23","2025-10-04"
337,8847,2,"HR","4.25","2025-09-26"
338,4834,2,"Technical","1.53","2025-11-02"
339,7867,2,"Phone","3.06","2025-04-10"
340,8079,1,"Technical","3.27","2025-10-03"
341,3951,2,"Managerial","1.29","2025-12-27"
342,7763,1,"Managerial","4.11","2026-01-12"
343,8183,3,"Managerial","3.98","2025-05-16"
344,9807,3,"Technical","4.56","2025-06-05"
345,7717,4,"Technical","4.71","2025-12-09"
346,1604,1,"Managerial","1.06","2025-06-27"
347,10341,1,"Technical","2.76","2025-12-11"
348,4128,3,"HR","1.76","2025-09-28"
349,3949,4,"Phone","3.65","2025-07-28"
350,8144,3,"Managerial","3.49","2025-06-14"
351,6006,4,"HR","2.88","2025-06-24"
352,5457,4,"Managerial","4.01","2025-07-31"
353,3746,3,"Technical","2.03","2025-09-11"
354,4605,1,"HR","3.28","2025-08-05"
355,7485,2,"Managerial","2.99","2026-01-01"
356,4447,3,"HR","1.50","2025-11-17"
357,5987,2,"Phone","1.60","2025-08-18"
358,10149,3,"HR","1.97","2025-08-21"
359,2080,1,"Managerial","1.90","2025-07-28"
360,4639,1,"Managerial","3.50","2025-03-31"
361,8136,3,"Technical","3.92","2025-10-03"
362,8246,4,"Technical","2.31","2025-12-12"
363,10236,1,"Technical","1.48","2025-08-30"
364,9587,1,"Phone","1.66","2025-12-23"
365,908,3,"Phone","4.04","2025-07-16"
366,5000,3,"Managerial","3.55","2025-04-21"
367,5586,3,"Managerial","4.93","2025-07-14"
368,7750,4,"Managerial","2.41","2025-04-01"
369,5610,3,"Technical","1.25","2025-09-29"
370,9785,2,"Phone","3.38","2025-11-14"
371,6427,3,"HR","3.71","2025-08-07"
372,10124,1,"Phone","4.23","2025-12-05"
373,7798,2,"Managerial","4.05","2025-12-23"
374,4695,1,"HR","4.58","2025-08-16"
375,326,1,"Phone","1.54","2025-12-20"
376,11549,2,"Managerial","1.01","2025-09-13"
377,4345,3,"Phone","2.82","2025-04-12"
378,2766,4,"Technical","1.77","2025-05-17"
379,3243,3,"Phone","3.26","2025-08-26"
380,1988,3,"Phone","2.87","2025-08-06"
381,8185,1,"HR","2.28","2025-06-02"
382,8553,3,"Managerial","4.51","2025-09-04"
383,6243,2,"Managerial","1.41","2025-06-06"
384,934,3,"Phone","3.27","2025-07-22"
385,944,1,"Phone","4.48","2025-07-02"
386,8477,1,"Phone","4.12","2025-07-03"
387,8073,2,"HR","4.51","2025-10-27"
388,2330,3,"HR","1.66","2025-05-13"
389,8407,4,"Managerial","2.16","2025-04-14"
390,5667,3,"HR","2.02","2025-07-01"
391,2955,3,"HR","1.23","2025-11-28"
392,4664,4,"Managerial","1.11","2025-06-30"
393,9078,3,"Technical","4.09","2025-12-16"
394,59,4,"HR","3.43","2025-11-20"
395,3956,2,"Phone","3.41","2026-01-05"
396,8214,3,"Managerial","4.76","2025-06-04"
397,11522,1,"HR","3.80","2025-04-29"
398,11564,2,"HR","2.83","2025-12-24"
399,6113,4,"Phone","3.09","2025-04-22"
400,6503,2,"Technical","1.55","2025-10-07"
401,4906,2,"Managerial","1.94","2025-04-30"
402,5897,4,"Phone","3.04","2025-05-15"
403,918,4,"Technical","3.36","2025-06-20"
404,4959,2,"HR","1.02","2025-10-06"
405,11314,2,"Technical","3.81","2025-04-20"
406,2635,2,"Managerial","1.21","2025-04-07"
407,10138,3,"HR","3.53","2025-12-09"
408,11332,4,"Managerial","2.38","2025-11-07"
409,3558,1,"HR","4.25","2025-12-25"
410,10148,4,"HR","1.81","2025-08-31"
411,4746,2,"Managerial","4.11","2025-06-22"
412,9227,2,"Managerial","1.45","2025-09-24"
413,8489,2,"Technical","2.78","2025-11-11"
414,1590,1,"Phone","4.08","2025-08-19"
415,5399,1,"HR","1.32","2025-08-17"
416,6206,4,"Phone","2.03","2025-08-23"
417,11751,1,"Managerial","1.87","2025-04-16"
418,5843,1,"Managerial","2.17","2025-09-09"
419,3544,2,"Phone","3.87","2025-12-05"
420,10836,4,"HR","3.31","2025-09-01"
421,3667,4,"Phone","4.66","2025-04-23"
422,8011,4,"Phone","3.10","2025-08-19"
423,11921,3,"Technical","3.99","2025-06-15"
424,1159,1,"Managerial","1.87","2025-10-19"
425,7378,4,"Technical","2.75","2025-11-21"
426,6070,4,"Phone","1.84","2025-11-09"
427,4317,2,"Technical","2.83","2025-06-15"
428,2219,4,"Managerial","5.00","2025-06-29"
429,5823,2,"Technical","2.78","2025-05-29"
430,1622,1,"Phone","4.88","2025-10-25"
431,8006,4,"HR","1.45","2025-09-09"
432,10449,4,"Technical","1.03","2025-06-27"
433,6933,1,"Phone","4.67","2025-06-13"
434,1698,3,"Technical","2.69","2025-07-19"
435,10544,3,"Technical","4.95","2025-07-14"
436,11412,4,"HR","3.23","2025-10-09"
437,9210,2,"Technical","4.64","2025-06-24"
438,10741,3,"Phone","1.50","2025-08-03"
439,8936,1,"Managerial","4.53","2025-12-06"
440,11043,3,"Phone","1.16","2025-06-28"
441,5014,2,"Managerial","1.49","2026-01-10"
442,10746,4,"Managerial","1.37","2026-01-15"
443,1176,4,"HR","3.96","2025-12-31"
444,10713,3,"Technical","1.34","2025-05-26"
445,3715,3,"Managerial","4.82","2025-05-11"
446,5172,2,"Managerial","1.17","2025-10-15"
447,8815,4,"Phone","2.82","2025-08-01"
448,3809,4,"HR","4.91","2026-01-15"
449,4660,3,"Phone","4.09","2025-12-29"
450,8723,4,"HR","1.78","2025-05-11"
451,7886,2,"Technical","2.48","2026-01-09"
452,5913,1,"Phone","1.05","2025-10-09"
453,5469,4,"Phone","4.60","2025-09-08"
454,917,3,"Technical","1.53","2025-07-04"
455,10261,4,"Phone","3.06","2025-07-04"
456,6947,3,"HR","1.43","2025-09-28"
457,10846,2,"Managerial","4.96","2025-12-25"
458,2901,4,"Managerial","2.40","2025-12-08"
459,5656,4,"Managerial","2.89","2025-09-06"
460,9370,2,"Technical","2.73","2025-07-13"
461,7424,2,"Managerial","4.28","2026-01-05"
462,4742,3,"HR","1.39","2025-12-12"
463,8158,2,"HR","2.18","2025-05-26"
464,889,1,"Phone","3.89","2025-08-15"
465,7769,1,"Managerial","3.59","2025-07-30"
466,662,3,"Technical","3.39","2025-09-24"
467,11670,3,"HR","3.65","2025-05-12"
468,5126,3,"Phone","3.48","2025-11-24"
469,3060,3,"Technical","1.52","2025-07-19"
470,8113,2,"Phone","4.69","2025-06-20"
471,11217,1,"HR","4.10","2025-06-24"
472,5563,2,"Phone","3.02","2025-11-09"
473,1716,1,"Managerial","2.38","2025-09-05"
474,9629,3,"Managerial","4.50","2025-10-25"
475,10469,4,"Phone","3.32","2025-11-07"
476,2191,3,"Managerial","1.89","2025-10-16"
477,2406,4,"Phone","1.92","2025-09-10"
478,8723,2,"HR","4.90","2025-10-25"
479,11071,3,"HR","2.87","2025-06-02"
480,2601,3,"HR","2.29","2025-05-09"
481,8411,3,"Technical","2.53","2025-12-09"
482,8843,2,"Technical","1.81","2025-04-29"
483,9328,3,"Phone","2.92","2025-05-06"
484,8440,2,"Managerial","2.96","2026-01-19"
485,1556,2,"Phone","2.76","2025-12-17"
486,7659,2,"Technical","3.58","2025-03-30"
487,2502,1,"HR","3.26","2026-01-21"
488,1236,2,"Phone","4.08","2026-01-10"
489,10779,3,"Managerial","3.31","2025-09-14"
490,6734,4,"Managerial","1.85","2025-10-30"
491,9666,2,"Managerial","1.30","2025-04-16"
492,5469,1,"Managerial","3.13","2025-12-21"
493,1793,3,"Technical","3.62","2025-08-09"
494,9476,4,"HR","3.75","2025-09-24"
495,7035,1,"Technical","2.47","2025-06-19"
496,11344,2,"Managerial","1.31","2025-12-12"
497,6340,1,"Managerial","1.61","2025-09-21"
498,289,4,"Managerial","4.40","2026-01-18"
499,3343,3,"Phone","4.48","2025-09-11"
500,435,4,"HR","2.99","2025-07-25"
501,5933,2,"HR","2.52","2025-06-13"
502,6747,2,"Technical","3.78","2025-12-05"
503,1343,3,"HR","1.26","2025-04-18"
504,7870,4,"Managerial","2.41","2025-12-19"
505,8175,1,"Technical","4.88","2026-01-10"
506,10988,1,"Phone","4.78","2025-07-13"
507,7394,2,"HR","4.97","2025-10-29"
508,4663,2,"Managerial","1.67","2025-08-25"
509,457,1,"Technical","4.73","2025-03-30"
510,462,4,"Phone","1.91","2025-12-25"
511,11857,1,"Managerial","3.05","2025-06-03"
512,1711,4,"Managerial","4.50","2025-12-27"
513,1278,3,"Managerial","1.79","2025-03-30"
514,1550,1,"Technical","1.15","2025-05-27"
515,4337,2,"Technical","3.28","2025-12-04"
516,9158,1,"Managerial","3.71","2025-12-18"
517,6852,3,"Technical","4.06","2025-04-08"
518,8718,4,"Technical","1.08","2025-09-19"
519,100,1,"Phone","1.06","2025-11-10"
520,72,1,"Phone","1.94","2025-11-03"
521,9200,1,"Managerial","1.18","2025-10-23"
522,6292,2,"Phone","4.39","2025-06-30"
523,10056,1,"Phone","1.36","2025-11-05"
524,4623,4,"Technical","1.41","2025-05-02"
525,8663,1,"Technical","1.63","2025-04-24"
526,10974,4,"Managerial","4.73","2025-07-22"
527,185,3,"Technical","2.89","2025-10-03"
528,9275,3,"HR","2.77","2025-11-04"
529,3400,3,"HR","2.51","2025-05-28"
530,6668,3,"HR","4.45","2025-06-06"
531,1459,3,"HR","2.06","2025-12-28"
532,6643,1,"HR","2.10","2025-10-06"
533,5340,1,"HR","1.57","2025-08-22"
534,2614,4,"HR","3.74","2025-12-08"
535,3015,3,"Phone","1.47","2025-11-17"
536,2612,2,"Phone","1.33","2025-09-01"
537,3149,4,"Technical","2.58","2025-11-25"
538,3031,3,"Managerial","1.03","2025-09-08"
539,1205,3,"Managerial","3.21","2025-08-27"
540,4249,4,"HR","4.62","2025-08-19"
541,2281,2,"Technical","4.54","2025-11-01"
542,9998,4,"Phone","4.85","2025-10-29"
543,6436,3,"HR","4.22","2025-06-25"
544,5706,2,"Technical","3.56","2026-01-10"
545,2988,3,"HR","2.01","2025-08-28"
546,1768,4,"Managerial","4.43","2025-04-26"
547,11264,1,"HR","1.49","2025-08-18"
548,11771,3,"HR","2.83","2025-12-14"
549,10436,4,"HR","2.24","2025-11-13"
550,1484,2,"Phone","3.36","2025-07-08"
551,3873,2,"Managerial","3.43","2025-04-30"
552,9424,2,"Managerial","4.96","2025-07-21"
553,5412,1,"Managerial","3.38","2026-01-01"
554,6102,2,"Phone","4.30","2025-06-26"
555,7158,2,"Technical","2.10","2025-04-13"
556,2156,4,"Technical","3.00","2025-08-23"
557,9125,4,"HR","4.78","2025-07-20"
558,1811,3,"HR","1.78","2025-09-22"
559,10381,2,"Managerial","3.30","2025-12-18"
560,675,4,"HR","4.23","2025-12-16"
561,6644,1,"HR","4.79","2025-09-28"
562,1042,3,"HR","1.88","2025-05-01"
563,4772,2,"Technical","2.76","2025-04-26"
564,3943,4,"Managerial","4.50","2025-12-15"
565,4514,1,"HR","2.22","2025-07-15"
566,8543,2,"Phone","3.45","2025-04-02"
567,9922,4,"Technical","4.28","2025-07-02"
568,8174,4,"Technical","2.69","2025-11-03"
569,7430,2,"Managerial","1.50","2025-11-27"
570,11786,3,"HR","3.84","2025-08-17"
571,8696,4,"HR","3.01","2025-07-13"
572,9712,2,"Phone","3.41","2025-12-24"
573,10087,3,"Phone","2.65","2025-09-08"
574,7940,3,"Technical","2.35","2025-11-18"
575,8641,3,"Phone","4.30","2026-01-03"
576,6046,1,"Phone","3.86","2025-07-18"
577,10997,1,"Phone","2.74","2025-08-04"
578,7776,4,"Technical","3.23","2025-09-10"
579,592,2,"HR","2.60","2025-06-19"
580,6153,4,"Phone","3.37","2025-06-28"
581,6644,2,"Phone","1.95","2025-06-29"
582,4767,2,"HR","2.24","2025-08-15"
583,9414,4,"Managerial","4.66","2025-07-26"
